id, name, birth_loc, pocc, marriage, lastname
716,Hodgson Thomas,,,,Thomas
717,Hodson Sir Charles,,,,
718,Hodson Thomas,,,,Thomas
719,Hogg Robert,,,,Robert
720,Holden Richard,,,,Richard
721,Holden Thomas,,,,Thomas
722,Holford Arthur,,,,Arthur
723,Holiday George,,,,George
724,Holman Francis,,,,Francis
725,Holman William,,,,William
726,Holmes Robert,St Matthew Friday St London,,,Robert
727,Hooke Benjamin,,,,Benjamin
729,Hooke Walter,,,,Walter
730,Hooper Charles,,,,Charles
731,Hooper George,England,,,George
732,Hope William,Musselburgh Midlothian,,,William
733,Hore Matthew,,,,Matthew
734,Hornblow William,Braintree Essex,,,William
735,Horncastle James,England,,,James
736,Horsburgh James,,,,James
737,Hosmer Henry,Mereworth Kent,,m 8 Jan 1819 West Peckham= Kent= Sarah Buttanshaw= Arthur Henry bap 10 Nov 1822= Alexandria Morison bap 16 Aug 1833= d 4 Dec 1848,Henry
738,Hough Samuel,,,,Samuel
739,Houghton John,,,,John
740,Hounsell Richard,,,,
741,Hounsell Thomas,,,,Thomas
742,Howe Thomas,,,,Thomas
743,Howes Christopher,,,,Christopher
744,Hoxton Walter,,,,Walter
745,Huddart Joseph,,,,Joseph
746,Huddart William,England,,,William
747,Hudson Charles,,,,Charles
748,Hudson Henry,,,,Henry
749,Hudson John,,,,John
750,Hudson Robert jr,,,,
752,Hudson Thomas,,,,Thomas
753,Hughes Henry,Wexford,gent,,Henry
754,Hughes Philip,St Lawrence Exeter,Capt,,Philip
755,Hughes Robert,,,,Robert
756,Hume Alexander,,,,Alexander
757,Humphrey Bryant,,,,
758,Hunt James,St Mary's Dover Kent,,,James
759,Hunt Richard,,,,Richard
760,Hunt Thomas,,,,Thomas
761,Hunt William,,,,William
762,Hunter Henry,,,,Henry
763,Hunter John,England,,,John
764,Hunter William,,,,William
765,Hurdis James,,,,James
766,Hurle John,,,,John
767,Hurst Robert,,,,Robert
768,Hutchinson George,,,,George
769,Hutchinson Henry,Holy Trinity Hull,banker,,Henry
770,Hutchinson Norton,,,,Norton
771,Hutchinson William,,,,William
772,Hutt Richard,,,,Richard
773,Hutton William Charles,Macao,,,William
774,Hyde Robert,,,,Robert
775,Hyde Samuel,Louth Lines,,,Samuel
776,Ibister David,,,,David
777,Inglis Cornelius,,,,Cornelius
778,Innes John,Queensferry Linlithgow,,m 20 May 1799 Sandwich= Kent= Elizabeth Wells,John
779,Irvine ?,,,,
781,Isacke Matthew,St Helena,,,Matthew
782,Isacke Robert M,,,,
783,Jackson Abraham,,,,Abraham
784,Jackson George,,,,George
785,Jackson J H,,,,J
786,Jackson James,Houghton_le_Spring co Durham,,,James
787,Jackson Jeffrey,,,,
788,Jackson Joseph,,,,Joseph
789,Jago Samuel,,,,Samuel
790,James Walter,,,,Walter
791,Jameson Alexander,,,,
792,Jameson James,,,,James
793,Jeffreys J P,,,,J
794,Jenifer James,,,,
795,Jenkins Benjamin,,,,Benjamin
796,Jenkins Robert,,,,Robert
797,Jenkins Thomas,Llangoedmore Cardigan,,,Thomas
798,Jesson Randle,,,,Randle
799,Jobson William,,,,William
800,Jodrell Philip,,,,Philip
801,Johnson ?,,,,
802,Johnson Francis,,,,Francis
803,Johnson James,,,,James
804,Johnson John,,,,John
805,Johnson John Edward,St Margaret's Westminster,,,John
806,Johnson Magnus,,,,Magnus
807,Johnson Robert,Stockton_on_Tees,Lecturer,,Robert
808,Johnson Thomas,,,,Thomas
809,Johnson Thomas Alexander,,,,Thomas
810,Johnston John,,,,
811,Johnstone Charles K.,,,,
812,Jones Benjamin,,,,Benjamin
813,Jones Charles,St Margaret's Lothbury London,,,Charles
814,Jones John,Swansea,,,John
815,Jones Thomas,,,,Thomas
816,Jordan Michael,,,,Michael
817,Kay Brook,Montreal Canada,,,Brook
818,Kay James,,,,James
819,Keate Samuel,,,,Samuel
820,Keble Page,,,,Page
821,Keeling William,,,,William
822,Kellaway James,Winterborne Dorset,,,James
823,Kelso George,,,,George
824,Kemeys Reginald,,,,
825,Kempt Francis,Leith Midlothian,,,Francis
826,Kempt Rodney,,,,Rodney
827,Kempthorne John,,,,John
828,Kendall Harry,Ulverston Lanes,,,Harry
829,Kent George,,,,George
830,Kent Henry,,,,Henry
831,Kerr Robert,,,,Robert
832,Kesar Charles,,,,Charles
833,Kidd Thomas,,,,Thomas
834,Kilvert Roger,,,,
835,Kirby Richard,,,,Richard
836,Kirkpatrick John,Scotland,,,John
837,Kirwan Stevens,,,,
838,Knox Robert,,,,Robert
839,knox william,,,,
840,Kymer Christopher,,,,
841,Ladd William Henry,St Mary the Virgin Dover,,,William
842,Lake Samuel,,,,Samuel
843,Lamb Edwin,,,,Edwin
844,Lamb James Thomas,,,,James
845,Lambe John,,,,
846,Lambert Thomas,,,,Thomas
847,Lambert William,,,,William
848,Lancaster James,,,,
849,Landon Samuel,Edmonton Middx,,,Samuel
850,Lane John,,,,John
851,Langworth Thomas,,,,Thomas
852,Larkins John Pascal,England,,,John
853,Larkins Thomas,,,,Thomas
854,Larkins William,,,,William
855,Lascelles Henry,,,,Henry
856,Lascelles Peter,,,,Peter
857,Lasinby Richard,,,,Richard
858,Lauder John,,,,John
859,Laurence Ambrose,,,,
860,Laurie Henry,,,,
861,Lawrence John,,,,John
862,Lawson John,Biggar Lanarks,,,John
863,Lawson Patrick,,,,Patrick
864,lay William,,,,
865,Laycock Richard,,,,Richard
866,Layman William,,,,William
867,LeBlanc Charles Henry,,,,
868,Le Geyt Carteret,,,,Geyt
869,le Huquet Philip,,,,
870,Leader James,,,,James
872,Ledger Edward,England,,,Edward
873,Lee James,,,,James
874,Lee Simon,Southwark London,,,Simon
875,Leech Thomas Watson,St Helena,,,Thomas
876,Leigh Francis William,St Sepulchre's London,,,Francis
877,Leigh Henry,,,,Henry
878,Leith John,,,,John
879,LeMesurier Frederick,,,,
880,Lennox Charles,England,,,Charles
881,Lennox John,Inch Wigton,farmer,,John
882,Lesley John,,,,John
883,Levy John,Broad St Bldgs St Mary Woolnoth London,merchant,,John
884,Lewin Gregory Moffat,Eltham Kent,,,Gregory
885,Lewin Richard Jr.,,,,
887,Lewis John,Whales,,,John
888,Lewis Josiah,,,,Josiah
889,Lewis Samuel,,,,Samuel
890,Lewis Thomas,,,,Thomas
891,Ley Thomas,England,,,Thomas
892,Liddell Henry,,,,Henry
893,Lindegreen Charles,,,,
894,Lindsay Alexander,Kenblethmont Inverkeilor Forfar,esq,,Alexander
896,Lindsay George,Ireland,,,George
897,Lindsay the Hon Hugh,,,,
898,Lindsay James,,,,James
899,Lindsay Martin,Edinburgh,,,Martin
900,Lindsay Robert,Scotland,,,Robert
901,Benfield Richard,,,,Richard
902,Lindsey edward,,,,
903,Lloyd John,,,,John
904,Loch John,Cramond Edinburgh,esq,,John
905,Lochner John Christopher,,,,John
907,Locke John Jr,,,,
908,Locke John Jr.,,,,
909,Locke Robert,St John's Hackney Middx,,m 17 Jun 1815 Bombay= Louisa Elliot,Robert
910,Logan John,Clackmannan,,,John
911,Lorner John,,,,John
912,Louth Matthew,,,,Matthew
913,Lowe Benjamin,,,,Benjamin
914,Lowe John,,,,John
915,Lowis Ninian,Scotland,,,Ninian
916,Luard John,St Bartholomew Royal Exchange London,,,John
917,Luhorne Nicholas,,,,Nicholas
918,Luke John,St Stephen's Exeter,,,John
919,Lukin George,Felbrigg Norfolk,,,George
920,Lushington Thomas,Markhal Latton pa Essex,,,Thomas
921,Lyde Samuel,Sidmouth Devon,,,Samuel
922,Lyell Christopher,,,,Christopher
923,Lyell Robert,,,,Robert
924,Lyell Thomas,,,,Thomas
925,Lymbrey William,,,,
926,Lynch William,St Mary Key Ipswich,,,William
927,Lynn Thomas,Woodbridge Suffolk,,,Thomas
928,Lytton George,,,,George
929,Mabbot William,,,m (1) Martha (2) Rhoda= dau of Sir John Hubard= 2nd Bart (wid of 1st Sir Thomas Delves= 4th Bart= and 2nd J Coates of Dodington= Cheshire),William
930,MacDougall Dugald,,,,
931,MacFarlane C. P.,,,,
932,Mackeson Thomas,Deal Kent,,,Thomas
933,Mackintosh John,Glasgow,,,John
934,Mackintosh William,Scotland,,,William
935,MacLeod Alexander,,,,Alexander
936,MacLeod Donald,,,,
937,MacLeshin Peter,,,,Peter
938,Macnamara John,,,,
940,MacNamara William,Rotherhithe London,,,William
941,MacTaggart Thomas,,,,
942,Madan Frederick,Lichfield Cathedral,,,Frederick
943,Maddox Leonard,,,,Leonard
944,Madge Thomas,,,,Thomas
945,Mainwaring Roger,,,,Roger
946,Maitland Patrick,,,,Patrick
947,Maitland Samuel,Barcaple Scotland,,,Samuel
948,Malim ?,,,,
949,Mallack Newton,,,,
950,Mallison John,,,,John
951,Man Eustace,,,,Eustace
953,Manderson John Rennie,Scotland,,m 11 Jul 1828 Prestonkirk= East Lothian= Margaret Rennie Robert b 30 Aug 1831 Prestonkirk George Rennie b 17 Feb 1834 Inveresk,John
954,Mangles Charles Edward,St John's Hackney Middx,,m 24 Mar 1831 St Martin_in_the_Fields= London= Rose Newcome James Henry bap 25 Sep 1832 Henry Albert bap 8 Sep 1833,Charles
955,Manly Thomas,,,,
956,Manning Edward,St Clement Danes London,,,Edward
957,Manning William,Inveresk Midlothian,,,William
958,Mansell James P.,,,,
959,Marjoribanks Campbell,Coldstream,esq,,Campbell
960,Marjoribanks William,Scotland,,,William
961,Marlowe Edward,,,,
962,Marquis Thomas,Cullen Banffshire,,m 27 Dec 1816 Berhampore= Louisa Parlby= Louisa Mary b 6 Oct & bap 3 Nov 1817 St Pancras= London Jessy b 30 May & bap 1 Jul 1820 Sheffield James b 5 Mar & bap 6 Apr 1824 St Pancras Caroline b 8 Jun & bap 8 Aug 1826 St Pancras Rose Hannah bap 30 Oct 1828 St Pancras,Thomas
963,Marshall David,St Cuthbert's pa Edinburgh,merchant,,David
964,Marshall John,Totnes Devon,,,John
965,Martin Edward,,,,Edward
966,Martin George,,,,George
967,Martin James,Trowbridge Wilts,,,James
968,Martin John,,,,John
969,Martin Matthew,,,,Matthew
970,Martin Samuel,,,,Samuel
971,Martyr William,,,,William
972,Betts Luckyn,,,,Luckyn
973,Mash Robert Abbon,Gt Yarmouth,,,Robert
974,Mason Andrew Timbrell,St Dunstan's Stepney Middx,bricklayer,,Andrew
975,Mason Benjamin,,,,Benjamin
976,Mason Charles,,,,Charles
977,Mason George,America,,,George
978,Massey Charles,,,,Charles
979,Massey Edmund,,,,Edmund
980,Masson james,,,,
981,Master William Gordon,,,,
982,Matthews George,,,,George
983,Maw Robert,,,,Robert
984,Mawson William,,,,William
985,Maxwell Arthur,,,,Arthur
986,Maxwell William,Dundee,merchant,,William
987,May Robert,,,,Robert
988,Mayne Charles Otway,England,,,Charles
989,Mayne John,Holy Trinity Exeter,,,John
990,McCall George,,,,George
991,McCulloch James,Anworth Kirkcudbright,,,James
992,McInnes George,,,,
993,McIntosh CC,,,,
994,McIntosh John,,,,
995,McMillan Iver,South End Kilblan Argyll,,,Iver
996,McNab Angus,Scotland,,,Angus
998,McTaggart John Orr,Ayr,merchant,,John
999,Mead Robert,,,,Robert
1000,Meadows Dixon,reg Dr Williams's Library London,,,Dixon
1001,Meard George,,,,George
1002,Mears Charles,,,,Charles
1003,Mears William,,,,William
1004,Mercer William,,,,William
1005,Meriton Henry,St Mary's Rotherhithe Surrey,,,Henry
1006,Meriton Richard,,,,
1007,Merry John,,,,John
1008,Mertho John,,,,John
1009,Michelborne Sir Edward,,,,
1010,Micklefield Richard,,,,Richard
1011,Middleton David,,,,David
1012,Middleton John,,,,John
1013,Middleton Sir Henry,,,,Sir
1014,Miller,,,,
1015,Miller David,,,,David
1016,Milles John,,,,
1017,Millet John,,,,John
1018,Millett George,,,,George
1019,Millett Nicholas,,,,Nicholas
1020,Mills John,Poplar Middx,,,John
1021,Milner Roger,,,,Roger
1022,Milner William,,,,William
1023,Minors William,,,,William
1024,Minter Lawrence,,,,Lawrence
1025,Misenor John,,,,John
1026,Misenor Robert,,,,Robert
1027,Mitchell Bruce,Dunfermline Fife,,,Bruce
1028,Mitchell Sir Charles,Scotland,,,Sir
1029,Mitchell David,,,,David
1030,Mitchell Gilbert,,,,
1032,Mitchell Stephen,,,,Stephen
1033,Mitchell William,Edinburgh,,,William
1034,Mitford Charles,,,,
1035,Moffat William,Rochester Kent,,,William
1036,Moffatt James,,,,
1037,Moffatt William,,,,
1038,Monck Thomas,,,,
1039,Moncrieff Lewis W.,,,,
1041,Money John,Marcle Herefords,,,John
1042,Money William Taylor,England,,m 8 Jun 1797 Much Marcle= Hcrefords= Eugenia Money,William
1043,Bishop James Thomas,,,,James
1044,Monro James,,,,James
1045,Monro Robert,,,,Robert
1046,Montagu William Augustus,Sheerness Kent,,m 24 Sep 1805 Penang= Catherine Brown Mulchings Augusta Catherine b 31 Dec 1810,William
1047,Montgomerie Alexander,,,,Alexander
1048,Montgomery James,,,,James
1049,Moore Samuel,,,,Samuel
1050,Morgan Michael,,,,Michael
1051,Morgan Robert,,,,Robert
1052,Moring James,Twyford Hants,,,James
1053,Morris Arthur,,,,Arthur
1054,Morris William,,,,William
1055,Morrison Richard,,,,Richard
1056,Mortimer Thomas,Eastbourne Sussex,,,Thomas
1057,Mortlock Charles,pa St Benet's Cambridge,banker,,Charles
1058,Mortlock Charles,pa St Benet's Cambridge,banker,,Charles
1059,Mortlock James,,,,James
1060,Morton Matthew,,,,Matthew
1061,Motley Thomas,,,,Thomas
1062,Muirhead A.,,,,
1063,Mumford John,,,,John
1064,Munro Daniel Nesbitt,,,,Daniel
1065,Murray Anthony,Dollerie Perth,,,Anthony
1066,Murray James,Selkirk,tenant in Howden,,James
1067,Murray Thomas Garland,Kingston Jamaica,,,Thomas
1068,Murrelol Abraham,,,,
1069,Musgrave Thomas,,,,Thomas
1070,Muter Arthur,Torryburne Fife,,,Arthur
1071,Myers Roger,,,,Roger
1072,Nairne Alexander,Pitteneem Fife,,m 14 Apr 1824 St Giles= Camberwell= Surrey= Anne Spencer Domett James b 7 Nov & bap 31 Dec 1830 Camberwell Alexander Kyd b 15 May & bap 2 Aug 1838 Camberwell both sons entered the EIC's Civil Service,Alexander
1073,Nairne Fasham,,,,Fasham
1074,Nansan John,,,,
1075,Nash Alexander,Kirkcudbright Forfar,,,Alexander
1076,Nash James,,,,James
1077,Needham Daniel,,,,Daniel
1078,Negus Johnathan,,,,
1079,Neish James,,,,James
1080,Nelly Francis,,,,Francis
1081,Nesbitt William,Kilmore co Cavan,,,William
1082,Newall David Rae,Scotland,,,David
1083,Newell Charles Hazell,,,,
1084,Newham John,,,,John
1085,Newport Anthony,,,,Anthony
1086,Newport Christopher,,,,Christopher
1087,Newsham Thomas,,,,Thomas
1088,Newte Thomas,,,,
1089,Newton Charles,,,,Charles
1090,Newton George,,,,George
1091,Nichol John,,,,John
1092,Nicholls George,England,,,George
1093,Nisbet Richard,,,,
1094,Nixon Thomas,,,,Thomas
1095,Norfor Robert Wright,Gt Yarmouth Norfolk,,,Robert
1096,Normand James,,,,James
1098,Norway Neville,,,,Neville
1099,Nutt Justinian,,,,Justinian
1100,O'Brien John,,,,John
1101,Ogilvie James,,,,James
1102,O'Hare Geoffrey,,,,
1103,Oliver John,Scotland,,,John
1104,Opie John,,,,John
1105,Orrok Wemyss,Methil Fifeshire,,,Wemyss
1107,Osborne James,,,,James
1108,Ostler William,,,,William
1109,Own Richard,,,,
1110,Paiba John,England,,,John
1112,Palmer E. H.,,,,
1113,Palmer George,St Botolph Bishopsgate London,,,George
1114,Palmer John,,,,John
1115,Palmer Robert Fish,,,,Robert
1116,Parish J. R.,,,,
1117,Parker Thomas,,,,Thomas
1118,Parker William,,,,William
1119,Parks William,,,,William
1120,Parramore Thomas,,,,Thomas
1121,Parrick Andrew,,,,Andrew
1122,Parrott Abraham,,,,Abraham
1123,Parsons John,,,,John
1124,Partington Watkin,,,,Watkin
1125,Pascall William Larkins,England,,,William
1126,Passmore Henry,,,,Henry
1127,Paterson John,Govan,,,John
1128,Patrickson Thomas,,,,Thomas
1129,Patterson Alexander,,,,
1130,Patterson Charles,,,,Charles
1131,Patterson John,,,,John
1132,Patterson Robert,Carnus co Tyrone,,,Robert
1133,Patterson William,Magherafelt co Londonderry,,,William
1134,Patton Andrew,Perth,,,Andrew
1135,Pattullo Robert,Carnbee Fife,esq,,Robert
1136,Paul Nathaniel,,,m 24 Dec 1769 Mary Jeudwine,Nathaniel
1137,Payne John,,,,John
1138,Payne Samuel,,,,Samuel
1139,Peacock Eustace,,,,Eustace
1140,Peacock Tempest,,,,Tempest
1141,Pearce Thomas,England,,,Thomas
1142,Pearse John,,,,
1143,Pearson James,Okenham Berks,,m 23 Jul 1807 Kingston Lisle= Berks= Alicia Ellen Martin Alice b 3 Sep 1811 James & Ellen Frances bap 20 Aug 1815,James
1144,Pearson John,,,,John
1145,Peck William,,,,William
1146,Peirce Richard,,,,
1147,Pelly Henry,,,,Henry
1148,Pelly Henry Hinde,,,,Henry
1149,Pelly John jr.,,,,
1151,Pemberton William,,,,William
1152,Pendergrass James,Madley Herefords,,,James
1153,Pennell Richard,England,,,Richard
1154,Percival Lucas,All Saints' Northampton,,,Lucas
1155,Perse William,,,,
1156,Peters William,,,,William
1157,Petrie John,,,,John
1158,Peyton Walter,,,,Walter
1159,Phillips George,Shepperton Middx,,,George
1160,Phillips Joseph,,,,Joseph
1161,Phinney George,,,,George
1162,Phripp Richard,,,,Richard
1163,Pidding John Rhodes,England,,,John
1164,Pierce Richard,,,,Richard
1165,Pierce Thomas Burston,,,,
1166,Pigot Charles,,,,
1167,Pigou Peter,St Marylebone London,,,Peter
1168,Pinnel William,,,,
1169,Pinnell Richard jr.,,,,
1171,Pinson John,,,,John
1172,Pitcher Thomas,,,,
1173,Pitman Frederick,,,,
1174,Pitt Wentworth George,,,,Wentworth
1176,Pocock John,,,,John
1177,Poole Benjamin,,,,Benjamin
1178,Pope William Langley,,,,William
1179,Portlock Nathaniel,,,,Nathaniel
1180,Pouncy Robert,England,,,Robert
1181,Power John,,,,John
1182,Poynter James Methurst,,,,James
1183,Poynting Thomas,,,,Thomas
1184,Prescott Charles Elton,St George's Hanover Sq London,esq,,Charles
1185,Prescott. Charles Elton,,,,
1186,Preston Robert,,,,Robert
1187,Price John,,,,John
1188,Price Thomas,Dolevelin Brecon,,,Thomas
1189,Prickman Benjamin,,,,Benjamin
1190,Prince John,,,,John
1191,Prince Lawrence,,,,Lawrence
1192,Privett John,,,,John
1193,Probert,,,,
1194,Probyn George,Lea Herefords,rev,m 1 Jun 1826 St Marylebone= London= Alicia dau of Sir Francis Workman MacNaghten= William George b 15 May 1827= Francis Gordon b 6 Feb 1829= Dighton MacNaghten b 21 Jan 1833a11 b & bap St Marylebone= Lesley Charles b 11 Aug 1834,George
1195,Proctor Ambrose Frederick,Ware Herts,,,Ambrose
1196,Proud John,,,,John
1197,Pryce Josiah,,,m Catherine= 10 children inc George b 15 Jan 1798 Leonard bap 5 Oct 1799 Catherine b 8 Apr 1801 William Francklin b 8 Mar 1803 Caroline b 25 Mar 1804,Josiah
1198,Purling John,,,,John
1199,Purvis Charles,,,,Charles
1200,Pye Randle,,,,
1202,Pyke Isaac,,,,Isaac
1203,Pyke John,,,,John
1204,Pynne John,,,,John
1205,Quicke Andrew,,,,
1207,Raincock George,St Mary's Woolchurch Haw,,,George
1208,Raine Thomas,,,,Thomas
1209,Raines Thomas,,,,Thomas
1210,Raitt Charles,Dundee,merchant,,Charles
1211,Ramage Patrick,Kirkliston Edinburgh,,m 12 May 1798 Kirkliston= Elizabeth Heeming,Patrick
1212,Ramsay John,,,,John
1213,Ramsden John,St Martin_in_in_the_Fields London,,,John
1214,Rankine Robert,Dundee,esq,,Robert
1215,Rattray James,,,,James
1216,Rawes Richard,,,,Richard
1217,Rawlings Thomas,,,,Thomas
1218,Raymond Charles,,,,Charles
1219,Raymond Hugh,,,,Hugh
1220,Raymond John,,,,John
1221,Rayne Robert,,,,Robert
1222,Reid Hugh,,,,
1223,Reay John,,,,John
1224,Reay Robert,Wexford,,,Robert
1225,Reddall Finch,,,,Finch
1226,Reddall John,,,,John
1227,Reddie John,Dysart Fife,,m Lavinia Salmon= Elizabeth b 20 Feb 1808= Andrew James b 7 Apr 1809= John Griffins b 21 Mar 1811= = Mary b 4 Jul 1812= Lavinia b 20 Jan 1814= Christian Hunt b 16 Jun 1821 1801_2,John
1228,Redman Gabriel Jemmett,,,,Gabriel
1229,Reed Francis,,,,Francis
1230,Rees James,,,,James
1231,Reeves Peter John,,,,Peter
1234,Remmington Samuel,Horsley Surrey,,,Samuel
1235,Reynolds Benjamin,,,,Benjamin
1236,Reynolds William,Ballyshannon co Donegal,,,William
1237,Rhode Robert,Haverfordwest,,,Robert
1238,Rice David,,,,David
1239,Rice Henry,,,,Henry
1240,Rice John,,,,John
1241,Richards _____,,,,
1242,Richards William,,,,William
1243,Richardson Benjamin,St Anne's Soho London,capt,,Benjamin
1244,Richardson George,St Anne's Limehouse London,capt,,George
1246,Richardson George,St Anne's Limehouse London,capt,,George
1247,Richardson Isaac Godsalve,,,,Isaac
1248,Riches Matthew,Woodbridge Suffolk,,,Matthew
1249,Riddell Thomas,,,,Thomas
1250,Ridley Philip,,,,
1251,Rigby Charles,,,,Charles
1252,Risby Henry,,,,Henry
1253,Roberts Arundel,,,,Arundel
1254,Roberts John,,,,John
1255,Roberts Thomas and John Hurle,,,,
1256,Roberts William,England,esq,,William
1257,Robertson Alexander,,,,Alexander
1258,Robertson Andrew,Aberdeen,esq,,Andrew
1259,Robertson George,Scotland,,,George
1260,Robertson Thomas,Scotland,,,Thomas
1261,Robinson John,Westleton Suffolk,gent,,John
1262,Robinson Robert,,,,Robert
1263,Robson William,England,rev,,William
1264,Roch Edward,,,,Edward
1265,Roddam Collingwood,,,,Collingwood
1266,Rogers John,England,,,John
1267,Rogers Samuel,,,,Samuel
1268,Rolland Peter,Kinnaird Kinross,,,Peter
1269,Roper William,St Martin_in_the_Fields London,,,William
1270,Ross Andrew,,,,Andrew
1271,Ross James,Perth,,,James
1272,Ross Thomas,,,,Thomas
1273,Rous Benjamin,,,,Benjamin
1274,Rous Robert,,,,Robert
1275,Rous Thomas Bales,,,,
1276,Rowles Richard,,,,Richard
1277,Rush Henry,Heckfield Hants,,,Henry
1278,Russell Gervase,,,,Gervase
1279,Ryland Charles,Scotland,,,Charles
1280,Ryves Thomas,,,,Thomas
1281,Salisbury John B.,,,,
1282,Salkeld Joseph,,,,Joseph
1283,Salmon Nathaniel,,,,Nathaniel
1284,Saltwell George,London,,,George
1285,Sampson Peter,,,,Peter
1286,Samson Brook,,,,
1287,Samson Henry Morse,,,,Henry
1288,Samson John,,,,John
1289,Samson John Brook,,,,
1290,Sanders James,,,,
1291,Sanders Thomas,Henley Oxon,,m 11 Dec 1796 Calcutta= Rosetta Fortunata Valle,Thomas
1292,Sandilands James,Mid Calder Midlothian,capt,,James
1293,Sandys John,,,,John
1294,Sandys Thomas,Graythwaite Hall Hawkshead Lanes,,,Thomas
1295,Saris John,,,m c1615 Anne dau of William Meggs of Whitechapel (she d without issue 21 Feb 1623= bur St Botolph Thames St); moved to Church Row= Fulham= c1629 d there 11 Dec 1643= bur 19 Dec Fulham parish church,John
1296,Saunders David,,,,David
1297,Saunders James,,,,James
1298,Saunders Leyston,,,,Leyston
1299,Saunders Richard,,,,Richard
1300,Savage Augustus,,,,Augustus
1301,Sax Thomas,,,,Thomas
1302,Scott Francis,England,,,Francis
1303,Scott George,Scotland,,,George
1304,Scott Hugh,Lassuden St Boswell Roxburghs,,,Hugh
1305,Scott John,England,,,John
1306,Scott Robert,,,,Robert
1308,Scott Thomas,,,,Thomas
1309,Scott William,,,,William
1310,Seale David,,,,David
1311,Sealy John,,,,John
1312,Seaman Edmund,,,,
1313,Sedgewick William,,,,
1314,Serle Samuel,St Thomas's Winchester,,,Samuel
1315,Sever William Crofton,,,,William
1316,Sharpe John,,,,John
1317,Sharpeigh Alexander,,,,Alexander
1318,Shaw John,,,,John
1319,Shea Charles,Stoke Damerel Devon,,m 10 Nov 1812 Greenwich= Anna Maria Boxley,Charles
1320,Sheen C H,,,,C
1321,Shepheard John,,,,John
1322,Shepherd John,Scotland,,,John
1323,Shepherd Thomas,Daviot Aberdeenshire,minister,,Thomas
1324,Sheppard Richard,,,,
1325,Sherwood John,St Nicholas's Galway,,,John
1326,Shettler Robert Brown,,,,Robert
1327,Shilling Andrew,,,,Andrew
1328,Short John,,,,John
1329,Short Joseph,,,,Joseph
1330,Show Raymond,,,,
1331,Shutter Richard,,,,
1332,Simmons George,,,,George
1333,Simpson F.,,,,
1334,Simpson George,Scotland,merchant,m 28 Jul 1792 Clifton= Glos= Theodosia Collier Charles bap 6 Nov 1799 Mary Ann b 30 Apr 1802,George
1336,Sinclair Alexander,,,,Alexander
1337,Skottowe John,England,,,John
1338,Skottowe Nicholas,,,,Nicholas
1339,Slade James,,,,James
1340,Slade John,,,,John
1341,Slater Gilbert,,,,Gilbert
1342,Smales Thomas,St Katherine_by_the_Tower London,,,Thomas
1343,Small Charles,,,,Charles
1344,Small Daniel,,,,Daniel
1345,Smedley Henry,Whales,,,Henry
1346,Smith George,,,,George
1347,Smith Joazen,,,,Joazen
1348,Smith John,,,,John
1349,Smith Joseph,Scotland,,,Joseph
1350,Smith Kennard,,,,Kennard
1351,Smith Nathaniel,,Capt of St Giles Cripplegate London,m 4 Nov 1764 Hester dau of George Dance= architect,Nathaniel
1352,Smith Samuel,,,,Samuel
1353,Smith Thomas,,,,Thomas
1354,Smith Timothy,St Marylebone London,,m 2 Jun 1821 Edmonton= Middx= Sarah Down Hammond= Sarah Mary Ann b 5 Mar 1822= Henry Hammond b 13 May 1824= Mary Pauline b 24 Jul 1827= William Joseph b 8 Apr 1829= Arthur b 15 Apr 1831= Anna b 10 Apr 1832,Timothy
1355,Smith William,Ireland,,,William
1356,Smyth Edmund,,,,Edmund
1357,Snow Raymond,,,,Raymond
1358,Sommers Jonathan,,,,Jonathan
1359,Sotheby John Barnet,,,,
1360,South Thomas,,,,Thomas
1361,Spaight Arthur,,,,Arthur
1362,Sparrow Matthew,,,,Matthew
1363,Spens Nathaniel,Scotland,,,Nathaniel
1364,Spottiswoode Robert,Edinburgh,,,Robert
1365,Stacey Edmund,,,,Edmund
1366,Stainforth George,,,,George
1367,Stamp Ralph,,,,Ralph
1368,Stanes Francis,,,,Francis
1369,Stanton Joseph,Stroud Glos,,,Joseph
1370,Stead Thomas Fisher,,,,Thomas
1371,Steel Graham,,,,Graham
1372,Stephens George,St Bartholomew Exchange London,,,George
1373,Stephenson Thomas,,,,Thomas
1374,Stevens George,St Augustine's pa Somerset,,,George
1375,Stevens John,St Botolph's Cambridge,,,John
1376,Stevens Thomas,,,,Thomas
1377,Stevens William,,,,William
1378,Steward Charles,Protestant Congregation Yarmouth,merchant,,Charles
1379,Steward Francis,,,,Francis
1380,Steward Gabriel,,,,Gabriel
1381,Stewart James,Clechpoldich Perthshire,,m 6 Mar 1794 Watford= Herts= Elizabeth Bache,James
1382,Stewart Alexander,,,,Alexander
1383,Stewart Charles,Scotland,,m 1 Aug 1812 Wolverhampton= Ann Willim Ann b 11 Jun 1813,Charles
1384,Stewart Francis Goddard,,,,Francis
1386,Stewart John,Scotland,,,John
1387,Stirling Alexander,,,,Alexander
1388,Stoakes James,,,,
1389,Stoakes Peter,,,,
1390,Stokoe William,Acomnr Hexham Northumberland,,,William
1391,Story William,,,,
1392,Stout Benjamin,,,,Benjamin
1393,Stranack James,,,,James
1394,Strover John,England,,,John
1395,Strutton Richard,,,,Richard
1396,Studd Edward,Westerfield Suffolk,,,Edward
1397,Studd John Lynch,,,,John
1398,Studholm William,,,,William
