Subject, Count,Agriculture,Colonies,Commerce,Fifteenth Century,finance,general,Miscellaneous,politics,Trades and Manufactures ,social conditions,transport
Fifteenth Century Bookkeeping,1,,,,,,,,,,,
Fifteenth Century Charity,1,,,,,,,,,,,
Fifteenth Century Chicken industry,1,,,,,,,,,,,
Fifteenth Century Church of England,1,,,,,,,,,,,
Fifteenth Century Customs administration,1,,,,,,,,,,,
Fifteenth Century Fertilizers,1,,,,,,,,,,,
Fifteenth Century Fisheries,2,,,,,,,,,,,
Fifteenth Century Florence (Italy),1,,,,,,,,,,,
Fifteenth Century Forestry law and legislation,1,,,,,,,,,,,
Fifteenth Century Great Britain,3,,,,,,,,,,,
Fifteenth Century Inventions,1,,,,,,,,,,,
Fifteenth Century Italy,1,,,,,,,,,,,
Fifteenth Century Justices of the peace,1,,,,,,,,,,,
Fifteenth Century Kent (England),1,,,,,,,,,,,
Fifteenth Century Marriage,1,,,,,,,,,,,
Fifteenth Century Plants| Edible,1,,,,,,,,,,,
Fifteenth Century Poor,1,,,,,,,,,,,
Fifteenth Century Prizes,1,,,,,,,,,,,
Fifteenth Century Reformation,1,,,,,,,,,,,
Fifteenth Century Reversion,1,,,,,,,,,,,
Fifteenth Century Spain,1,,,,,,,,,,,
Fifteenth Century Spice trade,1,,,,,,,,,,,
Fifteenth Century Taxation,1,,,,,,,,,,,
Fifteenth Century Universities and colleges,1,,,,,,,,,,,
Fifteenth Century Usury,3,,,,,,,,,,,
Fifteenth Century Wheat trade,1,,,,,,,,,,,
Finance,3,,,,,,,,,,,
Finance Accounting,2,,,,,,,,,,,
Finance Administration of estates,2,,,,,,,,,,,
Finance Adulterated coins,1,,,,,,,,,,,
Finance Agricultural credit,2,,,,,,,,,,,
Finance Agriculture,1,,,,,,,,,,,
Finance Alcoholic beverages,4,,,,,,,,,,,
Finance Ale,2,,,,,,,,,,,
Finance Aliens,1,,,,,,,,,,,
Finance Ames| William,1,,,,,,,,,,,
Finance Anglo-Dutch War| 1664-1667,1,,,,,,,,,,,
Finance Annuities,2,,,,,,,,,,,
Finance Archives,1,,,,,,,,,,,
Finance Argument to shew the disadvantage that would accrue to the publick| from obliging the South-Sea Company to fix what capital stock they will give for the annuities,1,,,,,,,,,,,
Finance Arithmetic,3,,,,,,,,,,,
Finance Asgill| John,1,,,,,,,,,,,
Finance Auditors,1,,,,,,,,,,,
Finance Audley| Hugh,1,,,,,,,,,,,
Finance Bank capital,2,,,,,,,,,,,
Finance Bank dialogue between Dr. H.C. and a country gentleman,2,,,,,,,,,,,
Finance Bank notes,1,,,,,,,,,,,
Finance Bank of Credit (London| England),8,,,,,,,,,,,
Finance Bank of England,41,,,,,,,,,,,
Finance Bank of Scotland,3,,,,,,,,,,,
Finance Bankruptcy,6,,,,,,,,,,,
Finance Banks and banking,34,,,,,,,,,,,
Finance Beds,3,,,,,,,,,,,
Finance Beer,11,,,,,,,,,,,
Finance Benefices| Ecclesiastical,3,,,,,,,,,,,
Finance Bible,2,,,,,,,,,,,
Finance Bills of exchange,5,,,,,,,,,,,
Finance Blacker| Samuel,1,,,,,,,,,,,
Finance Blunt| John,2,,,,,,,,,,,
Finance Boit| Charles,1,,,,,,,,,,,
Finance Bookkeeping,10,,,,,,,,,,,
Finance Bounties| Military,1,,,,,,,,,,,
Finance Bradley| Thomas,1,,,,,,,,,,,
Finance Branch banks,2,,,,,,,,,,,
Finance Brandy,2,,,,,,,,,,,
Finance Bread,2,,,,,,,,,,,
Finance Brewing industry,2,,,,,,,,,,,
Finance Bribery,1,,,,,,,,,,,
Finance Briscoe| John,3,,,,,,,,,,,
Finance British Mercury,1,,,,,,,,,,,
Finance Brokers,5,,,,,,,,,,,
Finance Brooke| Thomas,2,,,,,,,,,,,
Finance Budgell| Eustace,1,,,,,,,,,,,
Finance Building laws,1,,,,,,,,,,,
Finance Building materials,1,,,,,,,,,,,
Finance Business,1,,,,,,,,,,,
Finance Business mathematics,1,,,,,,,,,,,
Finance Cab and omnibus service,1,,,,,,,,,,,
Finance Calico-printing,1,,,,,,,,,,,
Finance Candles,4,,,,,,,,,,,
Finance Cards,3,,,,,,,,,,,
Finance Case of the auditors and receivers of His Majesty's revenue,1,,,,,,,,,,,
Finance Case of the free-holders and miners of and within the respective parishes of Asheover| Matlock ... in the county of Derby,1,,,,,,,,,,,
Finance Catholics,1,,,,,,,,,,,
Finance Chamberlen| Hugh,2,,,,,,,,,,,
Finance Charitable Corporation (London| England),3,,,,,,,,,,,
Finance Child| Josiah,1,,,,,,,,,,,
Finance Church,1,,,,,,,,,,,
Finance Church and state,2,,,,,,,,,,,
Finance Church finance,2,,,,,,,,,,,
Finance Church lands,8,,,,,,,,,,,
Finance Church maintenance and repair,3,,,,,,,,,,,
Finance Church of England,7,,,,,,,,,,,
Finance Church property,2,,,,,,,,,,,
Finance City of London (England),3,,,,,,,,,,,
Finance Civil list,2,,,,,,,,,,,
Finance Clay industries,1,,,,,,,,,,,
Finance Clayton| David,1,,,,,,,,,,,
Finance Clement| Simon,4,,,,,,,,,,,
Finance Clergy,1,,,,,,,,,,,
Finance Clothing and dress,1,,,,,,,,,,,
Finance Clothing trade,1,,,,,,,,,,,
Finance Coach drivers,1,,,,,,,,,,,
Finance Coal,5,,,,,,,,,,,
Finance Cocoa,2,,,,,,,,,,,
Finance Coffee,1,,,,,,,,,,,
Finance Coinage,70,,,,,,,,,,,
Finance Coins,1,,,,,,,,,,,
Finance Coins| British,1,,,,,,,,,,,
Finance Coins| Dutch,1,,,,,,,,,,,
Finance Collecting of accounts,2,,,,,,,,,,,
Finance Commerce,2,,,,,,,,,,,
Finance Compagnie des Indes,1,,,,,,,,,,,
Finance Company of Scotland Trading to Africa and the Indies,2,,,,,,,,,,,
Finance Company of White-Paper-Makers,1,,,,,,,,,,,
Finance Constables,1,,,,,,,,,,,
Finance Contracts,1,,,,,,,,,,,
Finance Cony| George,1,,,,,,,,,,,
Finance Cooke| Thomas,1,,,,,,,,,,,
Finance Copper coins,4,,,,,,,,,,,
Finance Cordage industry,1,,,,,,,,,,,
Finance Cornstarch,1,,,,,,,,,,,
Finance Corporation law,1,,,,,,,,,,,
Finance Corporation of London,1,,,,,,,,,,,
Finance Corporation of the Mine Adventurers of England,2,,,,,,,,,,,
Finance Costs (Law),1,,,,,,,,,,,
Finance Counterfeiters,1,,,,,,,,,,,
Finance Counterfeits and counterfeiting,1,,,,,,,,,,,
Finance Courten| William,2,,,,,,,,,,,
Finance Cox| Charles,1,,,,,,,,,,,
Finance Credit,10,,,,,,,,,,,
Finance Cromwell| Oliver,1,,,,,,,,,,,
Finance Crookshanks| John,1,,,,,,,,,,,
Finance Crown lands,1,,,,,,,,,,,
Finance Culpepper| Thomas,1,,,,,,,,,,,
Finance Currency question,83,,,,,,,,,,,
Finance Customs administration,16,,,,,,,,,,,
Finance Dacre| Dorothy,1,,,,,,,,,,,
Finance Damages,1,,,,,,,,,,,
Finance Davenport| Humphrey,1,,,,,,,,,,,
Finance Debt relief,3,,,,,,,,,,,
Finance Debtor and creditor,5,,,,,,,,,,,
Finance Debts| Public,54,,,,,,,,,,,
Finance Debt| Imprisonment for,1,,,,,,,,,,,
Finance Default (Finance),2,,,,,,,,,,,
Finance Defoe| Daniel,2,,,,,,,,,,,
Finance Devaluation of currency,5,,,,,,,,,,,
Finance Drugs,1,,,,,,,,,,,
Finance Duty-free importation,1,,,,,,,,,,,
Finance Dwellings,1,,,,,,,,,,,
Finance East India Company,5,,,,,,,,,,,
Finance Ecclesiastical law,6,,,,,,,,,,,
Finance Ellwood| Thomas,2,,,,,,,,,,,
Finance Embezzlement,1,,,,,,,,,,,
Finance England,2,,,,,,,,,,,
Finance England and Wales,38,,,,,,,,,,,
Finance English Company Trading to the East-Indies,4,,,,,,,,,,,
Finance Essex| Robert Devereux,1,,,,,,,,,,,
Finance Excise tax,29,,,,,,,,,,,
Finance Excise taxation,1,,,,,,,,,,,
Finance False imprisonment,1,,,,,,,,,,,
Finance Fees| Administrative,1,,,,,,,,,,,
Finance Finance,4,,,,,,,,,,,
Finance Finance| Personal,2,,,,,,,,,,,
Finance Finance| Public,65,,,,,,,,,,,
Finance Fines (Penalties),1,,,,,,,,,,,
Finance Fire Office (London| England),4,,,,,,,,,,,
Finance Fire Society (London| England),1,,,,,,,,,,,
Finance Fisheries,4,,,,,,,,,,,
Finance Food industry and trade,1,,,,,,,,,,,
Finance Food law and legislation,1,,,,,,,,,,,
Finance Food prices,2,,,,,,,,,,,
Finance Forced loans,1,,,,,,,,,,,
Finance Foreign exchange,3,,,,,,,,,,,
Finance Foreign trade promotion,1,,,,,,,,,,,
Finance Foreign trade regulation,1,,,,,,,,,,,
Finance Fortune,1,,,,,,,,,,,
Finance France,1,,,,,,,,,,,
Finance Fraud,1,,,,,,,,,,,
Finance Freight and freightage,1,,,,,,,,,,,
Finance Friendly Society (London| England),1,,,,,,,,,,,
Finance Funeral service,1,,,,,,,,,,,
Finance Gambling,1,,,,,,,,,,,
Finance Gambling systems,1,,,,,,,,,,,
Finance George,1,,,,,,,,,,,
Finance Glass manufacture,3,,,,,,,,,,,
Finance Goddard| John,1,,,,,,,,,,,
Finance Gold,1,,,,,,,,,,,
Finance Gold coins,9,,,,,,,,,,,
Finance Gold thread,2,,,,,,,,,,,
Finance Goodwin| John,1,,,,,,,,,,,
Finance Government lending,1,,,,,,,,,,,
Finance Government securities,1,,,,,,,,,,,
Finance Grain trade,1,,,,,,,,,,,
Finance Grand Alliance| War of the| 1689-1697,4,,,,,,,,,,,
Finance Grascome| Samuel,1,,,,,,,,,,,
Finance Great Britain,91,,,,,,,,,,,
Finance Grocers' Company (London| England),1,,,,,,,,,,,
Finance Guinea (Coin),11,,,,,,,,,,,
Finance Guineas at 21 s. 6 d. will make money plenty,1,,,,,,,,,,,
Finance Halford,1,,,,,,,,,,,
Finance Hallungius| J.,1,,,,,,,,,,,
Finance Hammond| Thomas,1,,,,,,,,,,,
Finance Hampden| John,2,,,,,,,,,,,
Finance Handkerchiefs,1,,,,,,,,,,,
Finance Hats,1,,,,,,,,,,,
Finance Hearth-money,7,,,,,,,,,,,
Finance Hides and skins,7,,,,,,,,,,,
Finance Hoadly| Benjamin,1,,,,,,,,,,,
Finance Hodges| James,1,,,,,,,,,,,
Finance Hodges| William,1,,,,,,,,,,,
Finance Homage (Feudal law),1,,,,,,,,,,,
Finance Homeowner's insurance,1,,,,,,,,,,,
Finance Hops,1,,,,,,,,,,,
Finance Horses,1,,,,,,,,,,,
Finance Hutcheson| Archibald,3,,,,,,,,,,,
Finance Income tax,1,,,,,,,,,,,
Finance Inheritance and transfer tax,1,,,,,,,,,,,
Finance Insurance,1,,,,,,,,,,,
Finance Insurance| Fire,6,,,,,,,,,,,
Finance Insurance| Life,5,,,,,,,,,,,
Finance Insurance| Marine,10,,,,,,,,,,,
Finance Insurance| Ship mortgage,1,,,,,,,,,,,
Finance Interest,33,,,,,,,,,,,
Finance Interest rates,3,,,,,,,,,,,
Finance Internal revenue,2,,,,,,,,,,,
Finance Internal revenue law,1,,,,,,,,,,,
Finance Inventories,1,,,,,,,,,,,
Finance Inventories| Retail,1,,,,,,,,,,,
Finance Ireland,7,,,,,,,,,,,
Finance Iron industry and trade,1,,,,,,,,,,,
Finance Jews,1,,,,,,,,,,,
Finance Jones| David,3,,,,,,,,,,,
Finance King Philip's War| 1675-1676,1,,,,,,,,,,,
Finance Lace industry,1,,,,,,,,,,,
Finance Land Bank (London| England),16,,,,,,,,,,,
Finance Land bank,1,,,,,,,,,,,
Finance Land banks,22,,,,,,,,,,,
Finance Land grants,1,,,,,,,,,,,
Finance Land settlement,1,,,,,,,,,,,
Finance Land tenure,1,,,,,,,,,,,
Finance Land titles,3,,,,,,,,,,,
Finance Land value taxation,2,,,,,,,,,,,
Finance Landowners,1,,,,,,,,,,,
Finance Law,2,,,,,,,,,,,
Finance Law| John,1,,,,,,,,,,,
Finance Leather,10,,,,,,,,,,,
Finance Leather industry and trade,3,,,,,,,,,,,
Finance Legal tender,9,,,,,,,,,,,
Finance License system,1,,,,,,,,,,,
Finance Linen,3,,,,,,,,,,,
Finance Linen industry,2,,,,,,,,,,,
Finance Linseed oil,1,,,,,,,,,,,
Finance Liquor industry,1,,,,,,,,,,,
Finance Liquor laws,1,,,,,,,,,,,
Finance Liquors,2,,,,,,,,,,,
Finance Littleton| Edward,1,,,,,,,,,,,
Finance Livestock,2,,,,,,,,,,,
Finance Loans,1,,,,,,,,,,,
Finance Loans| British,2,,,,,,,,,,,
Finance Local taxation,2,,,,,,,,,,,
Finance Locke| John,1,,,,,,,,,,,
Finance Lombard loans,1,,,,,,,,,,,
Finance London (England),4,,,,,,,,,,,
Finance Lotteries,35,,,,,,,,,,,
Finance Lowndes| William,1,,,,,,,,,,,
Finance Mackworth| Humphrey,2,,,,,,,,,,,
Finance Malt,10,,,,,,,,,,,
Finance Malt industry,1,,,,,,,,,,,
Finance Manley| Thomas,1,,,,,,,,,,,
Finance Maritime law,1,,,,,,,,,,,
Finance Markets,1,,,,,,,,,,,
Finance Marlborough| John Churchill,2,,,,,,,,,,,
Finance Marriage licenses,1,,,,,,,,,,,
Finance Medals,1,,,,,,,,,,,
Finance Mercenary troops,2,,,,,,,,,,,
Finance Million-Bank (London| England),2,,,,,,,,,,,
Finance Missions,1,,,,,,,,,,,
Finance Molasses,1,,,,,,,,,,,
Finance Monetary policy,1,,,,,,,,,,,
Finance Money,39,,,,,,,,,,,
Finance Money supply,4,,,,,,,,,,,
Finance Naturalization,1,,,,,,,,,,,
Finance Negotiable instruments,1,,,,,,,,,,,
Finance Nevell,1,,,,,,,,,,,
Finance Numismatics,1,,,,,,,,,,,
Finance Ormonde| James Butler,1,,,,,,,,,,,
Finance Orphans,1,,,,,,,,,,,
Finance Paper,6,,,,,,,,,,,
Finance Paper industry,2,,,,,,,,,,,
Finance Paper money,7,,,,,,,,,,,
Finance Paperboard,3,,,,,,,,,,,
Finance Paschall| John,1,,,,,,,,,,,
Finance Paterson| William,8,,,,,,,,,,,
Finance Payne| Robert,2,,,,,,,,,,,
Finance Pergens| Jacob,1,,,,,,,,,,,
Finance Petty| Dorothy,1,,,,,,,,,,,
Finance Petty| William,2,,,,,,,,,,,
Finance Philip,1,,,,,,,,,,,
Finance Phipps| Constantine,1,,,,,,,,,,,
Finance Plate,1,,,,,,,,,,,
Finance Political corruption,1,,,,,,,,,,,
Finance Political satire| English,1,,,,,,,,,,,
Finance Poll tax,6,,,,,,,,,,,
Finance Poor,3,,,,,,,,,,,
Finance Popish Plot| 1678,2,,,,,,,,,,,
Finance Postage stamps,1,,,,,,,,,,,
Finance Pottery,1,,,,,,,,,,,
Finance Povey| Charles,1,,,,,,,,,,,
Finance Powell| John,1,,,,,,,,,,,
Finance Precious metals,1,,,,,,,,,,,
Finance Prerogative| Royal,1,,,,,,,,,,,
Finance Press law,1,,,,,,,,,,,
Finance Price regulation,1,,,,,,,,,,,
Finance Privateering,2,,,,,,,,,,,
Finance Prize law,3,,,,,,,,,,,
Finance Prizes,9,,,,,,,,,,,
Finance Promissory notes,1,,,,,,,,,,,
Finance Property tax,1,,,,,,,,,,,
Finance Public welfare,1,,,,,,,,,,,
Finance Purveyance,1,,,,,,,,,,,
Finance Quakers,2,,,,,,,,,,,
Finance Raisins,2,,,,,,,,,,,
Finance Ram| Stephen,1,,,,,,,,,,,
Finance Ready-reckoners,4,,,,,,,,,,,
Finance Real property,1,,,,,,,,,,,
Finance Real property tax,6,,,,,,,,,,,
Finance Rent,1,,,,,,,,,,,
Finance Rental housing,1,,,,,,,,,,,
Finance Revenue,5,,,,,,,,,,,
Finance Revenue-stamps,1,,,,,,,,,,,
Finance Rice| John,2,,,,,,,,,,,
Finance Richard Thompson and Company (London| England),3,,,,,,,,,,,
Finance Rotherham| John,1,,,,,,,,,,,
Finance Royal African Company,1,,,,,,,,,,,
Finance Rye| John,1,,,,,,,,,,,
Finance Salt,7,,,,,,,,,,,
Finance Salt industry and trade,1,,,,,,,,,,,
Finance Sampson (Ship),1,,,,,,,,,,,
Finance Saving and investment,7,,,,,,,,,,,
Finance Scotland,15,,,,,,,,,,,
Finance Seizure of vessels and cargoes,1,,,,,,,,,,,
Finance Selden| John,3,,,,,,,,,,,
Finance Ship-money,8,,,,,,,,,,,
Finance Shoe industry,1,,,,,,,,,,,
Finance Signs and signboards,1,,,,,,,,,,,
Finance Silk,5,,,,,,,,,,,
Finance Silk industry,2,,,,,,,,,,,
Finance Silver,2,,,,,,,,,,,
Finance Silver coins,1,,,,,,,,,,,
Finance Simony,1,,,,,,,,,,,
Finance Soap,7,,,,,,,,,,,
Finance Soap trade,1,,,,,,,,,,,
Finance Society of Friends,1,,,,,,,,,,,
Finance South Sea Company,87,,,,,,,,,,,
Finance Spanish Succession| War of| 1701-1714,7,,,,,,,,,,,
Finance Speculation,3,,,,,,,,,,,
Finance Spending tax,1,,,,,,,,,,,
Finance St. Dunstan's in the West (Church : London| England),1,,,,,,,,,,,
Finance St. Helen| Bishopsgate (Church : London| England),1,,,,,,,,,,,
Finance Stamp-duties,7,,,,,,,,,,,
Finance Starch,1,,,,,,,,,,,
Finance Stock exchanges,6,,,,,,,,,,,
Finance Stocks,3,,,,,,,,,,,
Finance Sugar,2,,,,,,,,,,,
Finance Sugar trade,1,,,,,,,,,,,
Finance Surety of the peace,1,,,,,,,,,,,
Finance Tallies,1,,,,,,,,,,,
Finance Tallow,1,,,,,,,,,,,
Finance Tare,2,,,,,,,,,,,
Finance Tariff,62,,,,,,,,,,,
Finance Tariff on coffee,1,,,,,,,,,,,
Finance Tariff on leather garments,2,,,,,,,,,,,
Finance Tariff on metal products,1,,,,,,,,,,,
Finance Tariff on paper,3,,,,,,,,,,,
Finance Tariff on sugar,2,,,,,,,,,,,
Finance Tariff on textile fabrics,8,,,,,,,,,,,
Finance Tariff on tobacco-pipes,1,,,,,,,,,,,
Finance Tariff on wine,7,,,,,,,,,,,
Finance Tariff on wines,1,,,,,,,,,,,
Finance Tariff on wire,1,,,,,,,,,,,
Finance Tariff on wool,2,,,,,,,,,,,
Finance Tax assessment,3,,,,,,,,,,,
Finance Tax collection,10,,,,,,,,,,,
Finance Tax evasion,1,,,,,,,,,,,
Finance Tax exemption,2,,,,,,,,,,,
Finance Tax incidence,2,,,,,,,,,,,
Finance Tax remission,1,,,,,,,,,,,
Finance Taxation,63,,,,,,,,,,,
Finance Taxes| Farming of,2,,,,,,,,,,,
Finance Temptation,1,,,,,,,,,,,
Finance Textile fabrics,4,,,,,,,,,,,
Finance Textile industry,4,,,,,,,,,,,
Finance Thorpe| John,1,,,,,,,,,,,
Finance Tin,2,,,,,,,,,,,
Finance Tithes,70,,,,,,,,,,,
Finance Tithes (Jewish law),1,,,,,,,,,,,
Finance To the honourable the Parliament of the commonwealth of England. The humble petition of us gentlemen| free-holders| and other inhabitants in the county of Wilts,1,,,,,,,,,,,
Finance Tobacco,8,,,,,,,,,,,
Finance Tokens,2,,,,,,,,,,,
Finance Tonnage fees,1,,,,,,,,,,,
Finance Torbay (England),1,,,,,,,,,,,
Finance Traders Exchange-House (London weather),1,,,,,,,,,,,
Finance Transportation,1,,,,,,,,,,,
Finance Travel,1,,,,,,,,,,,
Finance Treasury bills,2,,,,,,,,,,,
Finance Truth,1,,,,,,,,,,,
Finance Undertakers and undertaking,1,,,,,,,,,,,
Finance United Society on Births| Marriages| and Servants (London| England),1,,,,,,,,,,,
Finance University of Cambridge,2,,,,,,,,,,,
Finance University of Glasgow,1,,,,,,,,,,,
Finance University presses,1,,,,,,,,,,,
Finance Usury,15,,,,,,,,,,,
Finance Usury stated,1,,,,,,,,,,,
Finance Vindication of the former letter,1,,,,,,,,,,,
Finance Wagstaffe| Thomas,2,,,,,,,,,,,
Finance Wall| Capell,1,,,,,,,,,,,
Finance Walpole| Robert,3,,,,,,,,,,,
Finance Water,2,,,,,,,,,,,
Finance Wealth tax,1,,,,,,,,,,,
Finance Wealth| Ethics of,1,,,,,,,,,,,
Finance Weights and measures,1,,,,,,,,,,,
Finance Weights and measures| Jewish,2,,,,,,,,,,,
Finance Whitaker| Edward,2,,,,,,,,,,,
Finance Wigs,1,,,,,,,,,,,
Finance Williamson| Robert,1,,,,,,,,,,,
Finance Windows,1,,,,,,,,,,,
Finance Wine and wine making,4,,,,,,,,,,,
Finance Withall| Benjamin,1,,,,,,,,,,,
Finance Wool,1,,,,,,,,,,,
Finance Wool industry,11,,,,,,,,,,,
Finance Work release of prisoners,1,,,,,,,,,,,
Finance Worshipful Company of Goldsmiths,3,,,,,,,,,,,
Finance Worshipful Company of Gunmakers of the City of London,1,,,,,,,,,,,
Finance Yarn,1,,,,,,,,,,,
General,1,,,,,,,,,,,
General Abercromby| Patrick,1,,,,,,,,,,,
General Accounting,1,,,,,,,,,,,
General Addison| Joseph,1,,,,,,,,,,,
General Advantages of Scotland by an incorporate union with England,1,,,,,,,,,,,
General Algeria,1,,,,,,,,,,,
General Almanacs| English,3,,,,,,,,,,,
General Ambassadors,1,,,,,,,,,,,
General America,1,,,,,,,,,,,
General Amnesty,2,,,,,,,,,,,
General Answer and confutation of that groundlesse vindication of Psal. 105.15 (Touch not mine anoynted| and do my prophets no harm),1,,,,,,,,,,,
General Apologetics,1,,,,,,,,,,,
General Asgill| John,1,,,,,,,,,,,
General Asia,1,,,,,,,,,,,
General Balance of trade,1,,,,,,,,,,,
General Balkan Peninsula,1,,,,,,,,,,,
General Barrier treaty| 1709,1,,,,,,,,,,,
General Bees,1,,,,,,,,,,,
General Beverages,1,,,,,,,,,,,
General Black| William,1,,,,,,,,,,,
General Borders of England (England),1,,,,,,,,,,,
General Boroughs,1,,,,,,,,,,,
General Business education,3,,,,,,,,,,,
General Business ethics,2,,,,,,,,,,,
General Calendar,1,,,,,,,,,,,
General Charles,1,,,,,,,,,,,
General China,4,,,,,,,,,,,
General Christian life,2,,,,,,,,,,,
General Church and state,1,,,,,,,,,,,
General Church of England,2,,,,,,,,,,,
General Civics| Scottish,1,,,,,,,,,,,
General Civilization,1,,,,,,,,,,,
General Coal,1,,,,,,,,,,,
General Colbert| Jean Baptiste,1,,,,,,,,,,,
General Commerce,4,,,,,,,,,,,
General Commercial law,1,,,,,,,,,,,
General Committee of Adventurers for Lands in Ireland,1,,,,,,,,,,,
General Company of Scotland Trading to Africa and the Indies,2,,,,,,,,,,,
General Conduct of life,2,,,,,,,,,,,
General Cornwall (England : County),1,,,,,,,,,,,
General Cromwell| Oliver,1,,,,,,,,,,,
General Customary law,1,,,,,,,,,,,
General Debts| Public,1,,,,,,,,,,,
General Defoe| Daniel,4,,,,,,,,,,,
General Denmark,1,,,,,,,,,,,
General Devolution| War of| 1667-1668,1,,,,,,,,,,,
General Discoveries in geography,1,,,,,,,,,,,
General Dunton| John,1,,,,,,,,,,,
General Economics,4,,,,,,,,,,,
General Education,1,,,,,,,,,,,
General Encyclopedias and dictionaries,1,,,,,,,,,,,
General England,9,,,,,,,,,,,
General England and Wales,7,,,,,,,,,,,
General Ethics,1,,,,,,,,,,,
General Europe,4,,,,,,,,,,,
General Finance| Public,2,,,,,,,,,,,
General Fisheries,1,,,,,,,,,,,
General Forms (Law),3,,,,,,,,,,,
General France,9,,,,,,,,,,,
General Free thought,1,,,,,,,,,,,
General Geography,1,,,,,,,,,,,
General Germany,1,,,,,,,,,,,
General Gloucester (England),1,,,,,,,,,,,
General Great Britain,139,,,,,,,,,,,
General Guiana,1,,,,,,,,,,,
General Hebrides (Scotland),1,,,,,,,,,,,
General Howell| James,1,,,,,,,,,,,
General Human beings,1,,,,,,,,,,,
General India,2,,,,,,,,,,,
General Indians of North America,1,,,,,,,,,,,
General Indochina,1,,,,,,,,,,,
General Interest,1,,,,,,,,,,,
General International law,1,,,,,,,,,,,
General Inventions,1,,,,,,,,,,,
General Iran,1,,,,,,,,,,,
General Ireland,17,,,,,,,,,,,
General Islam,1,,,,,,,,,,,
General Justice| Administration of,2,,,,,,,,,,,
General Land titles,2,,,,,,,,,,,
General Law,19,,,,,,,,,,,
General Le Comte| Louis,1,,,,,,,,,,,
General Levellers,2,,,,,,,,,,,
General London (England),7,,,,,,,,,,,
General Louis,1,,,,,,,,,,,
General Maritime law,1,,,,,,,,,,,
General Merchants,1,,,,,,,,,,,
General Mining claims,1,,,,,,,,,,,
General Mississippi River Valley,1,,,,,,,,,,,
General Monetary policy,1,,,,,,,,,,,
General Money,1,,,,,,,,,,,
General Morocco,1,,,,,,,,,,,
General Natural history,2,,,,,,,,,,,
General Naturalization,1,,,,,,,,,,,
General Naval battles,1,,,,,,,,,,,
General Nederlandsche Oost-Indische Compagnie,1,,,,,,,,,,,
General Netherlands,13,,,,,,,,,,,
General Norwich (England),1,,,,,,,,,,,
General Ordinances| Municipal,1,,,,,,,,,,,
General Ormonde| James Butler,1,,,,,,,,,,,
General Paper money,1,,,,,,,,,,,
General Paris (France),2,,,,,,,,,,,
General Peace treaties,1,,,,,,,,,,,
General Person of honour,1,,,,,,,,,,,
General Plague,1,,,,,,,,,,,
General Pleas of the crown,1,,,,,,,,,,,
General Political science,7,,,,,,,,,,,
General Poor,1,,,,,,,,,,,
General Porcelain| English,1,,,,,,,,,,,
General Portugal,1,,,,,,,,,,,
General Prize law,1,,,,,,,,,,,
General Proclamations,1,,,,,,,,,,,
General Protestants,1,,,,,,,,,,,
General Ready-reckoners,2,,,,,,,,,,,
General Russia,1,,,,,,,,,,,
General Rycaut| Paul,1,,,,,,,,,,,
General Salt,1,,,,,,,,,,,
General Salvation,1,,,,,,,,,,,
General San SebastiՍn (Spain),1,,,,,,,,,,,
General Scotland,32,,,,,,,,,,,
General Session laws,16,,,,,,,,,,,
General Slave trade,1,,,,,,,,,,,
General South America,1,,,,,,,,,,,
General South Carolina,1,,,,,,,,,,,
General Soviet Union,1,,,,,,,,,,,
General Spain,2,,,,,,,,,,,
General Spanish Succession| War of| 1701-1714,6,,,,,,,,,,,
General Speeches| addresses| etc.| English,1,,,,,,,,,,,
General Switzerland,1,,,,,,,,,,,
General Taiwan,1,,,,,,,,,,,
General Tangier (Morocco),2,,,,,,,,,,,
General Tax remission,2,,,,,,,,,,,
General Textile industry,1,,,,,,,,,,,
General Travel,1,,,,,,,,,,,
General Travelers,2,,,,,,,,,,,
General Treat of Breda,1,,,,,,,,,,,
General Treaty of Breda,2,,,,,,,,,,,
General Treaty of Utrecht,2,,,,,,,,,,,
General Tryon| Thomas,1,,,,,,,,,,,
General Turkey,2,,,,,,,,,,,
General Tuscany (Italy),1,,,,,,,,,,,
General Utopias,1,,,,,,,,,,,
General Vietnam,1,,,,,,,,,,,
General Voyages and travels,2,,,,,,,,,,,
General Voyages around the world,1,,,,,,,,,,,
General Warehouse receipts,1,,,,,,,,,,,
General Weights and measures,2,,,,,,,,,,,
General Whig Party (Great Britain),3,,,,,,,,,,,
General Wilmer| John,1,,,,,,,,,,,
General Wool industry,1,,,,,,,,,,,
General Wren| Christopher,1,,,,,,,,,,,
Great Britain,19,,,,,,,,,,,
Industrial arts,1,,,,,,,,,,,
Miscellaneous,3,,,,,,,,,,,
Miscellaneous A. A. (True son of the Church of England),1,,,,,,,,,,,
Miscellaneous Alberoni| Giulio,1,,,,,,,,,,,
Miscellaneous Almanacs| English,1,,,,,,,,,,,
Miscellaneous Amnesty,1,,,,,,,,,,,
Miscellaneous Ancients and moderns| Quarrel of,1,,,,,,,,,,,
Miscellaneous Anglo-Dutch War| 1652-1654,1,,,,,,,,,,,
Miscellaneous Anne,1,,,,,,,,,,,
Miscellaneous Apprentices,1,,,,,,,,,,,
Miscellaneous Arabic fiction,1,,,,,,,,,,,
Miscellaneous Asgill| John,2,,,,,,,,,,,
